colData	treatment	time
CFPR_1hr_R2	CFPR	1
CFPR_1hr_R3	CFPR	1
CFPR_1hr_R4	CFPR	1
CFPR_24hr_R2	CFPR	24
CFPR_24hr_R3	CFPR	24
CFPR_24hr_R4	CFPR	24
CFPR_48hr_R1	CFPR	48
CFPR_48hr_R2	CFPR	48
CFPR_48hr_R3	CFPR	48
CFPR_48hr_R4	CFPR	48
CFPR_4hr_R1	CFPR	4
CFPR_4hr_R2	CFPR	4
CFPR_4hr_R3	CFPR	4
CFPR_4hr_R4	CFPR	4
CFPR_72hr_R1	CFPR	72
CFPR_72hr_R2	CFPR	72
CFPR_72hr_R3	CFPR	72
CFPR_72hr_R4	CFPR	72
CFPR_8hr_R1	CFPR	8
CFPR_8hr_R2	CFPR	8
CFPR_8hr_R3	CFPR	8
CFPR_8hr_R4	CFPR	8
Cont_1hr_R1	Control	1
Cont_1hr_R2	Control	1
Cont_1hr_R3	Control	1
Cont_1hr_R4	Control	1
Cont_24hr_R1	Control	24
Cont_24hr_R2	Control	24
Cont_24hr_R3	Control	24
Cont_48hr_R1	Control	48
Cont_48hr_R2	Control	48
Cont_48hr_R3	Control	48
Cont_48hr_R4	Control	48
Cont_4hr_R2	Control	4
Cont_4hr_R3	Control	4
Cont_4hr_R4	Control	4
Cont_72hr_R1	Control	72
Cont_72hr_R2	Control	72
Cont_72hr_R3	Control	72
Cont_8hr_R2	Control	8
Cont_8hr_R3	Control	8
Cont_8hr_R4	Control	8
IG1_1hr_R1	PYR	1
IG1_1hr_R2	PYR	1
IG1_1hr_R3	PYR	1
IG1_1hr_R4	PYR	1
IG1_24hr_R1	PYR	24
IG1_24hr_R2	PYR	24
IG1_24hr_R3	PYR	24
IG1_24hr_R4	PYR	24
IG1_48hr_R1	PYR	48
IG1_48hr_R2	PYR	48
IG1_48hr_R3	PYR	48
IG1_4hr_R1	PYR	4
IG1_4hr_R2	PYR	4
IG1_4hr_R3	PYR	4
IG1_4hr_R4	PYR	4
IG1_72hr_R1	PYR	72
IG1_72hr_R2	PYR	72
IG1_72hr_R3	PYR	72
IG1_72hr_R4	PYR	72
IG1_8hr_R1	PYR	8
IG1_8hr_R2	PYR	8
IG1_8hr_R3	PYR	8
IG1_8hr_R4	PYR	8
IG2_1hr_R1	Combined	1
IG2_1hr_R2	Combined	1
IG2_1hr_R3	Combined	1
IG2_1hr_R4	Combined	1
IG2_24hr_R1	Combined	24
IG2_24hr_R2	Combined	24
IG2_24hr_R3	Combined	24
IG2_24hr_R4	Combined	24
IG2_48hr_R1	Combined	48
IG2_48hr_R2	Combined	48
IG2_48hr_R3	Combined	48
IG2_4hr_R1	Combined	4
IG2_4hr_R2	Combined	4
IG2_4hr_R3	Combined	4
IG2_4hr_R4	Combined	4
IG2_72hr_R2	Combined	72
IG2_72hr_R3	Combined	72
IG2_72hr_R4	Combined	72
IG2_8hr_R1	Combined	8
IG2_8hr_R2	Combined	8
IG2_8hr_R3	Combined	8
IG2_8hr_R4	Combined	8
